Plant,Trt,Rep,Time,N_control,N_treated
Untreated control,Untreated control,1,1hr,0,10
Untreated control,Untreated control,2,1hr,0,10
Untreated control,Untreated control,3,1hr,0,10
Untreated control,Untreated control,4,1hr,0,10
Untreated control,Untreated control,1,2hr,0,10
Untreated control,Untreated control,2,2hr,0,10
Untreated control,Untreated control,3,2hr,0,10
Untreated control,Untreated control,4,2hr,0,10
Untreated control,Untreated control,1,3hr,0,10
Untreated control,Untreated control,2,3hr,0,10
Untreated control,Untreated control,3,3hr,0,10
Untreated control,Untreated control,4,3hr,0,10
Untreated control,Untreated control,1,4hr,0,10
Untreated control,Untreated control,2,4hr,0,10
Untreated control,Untreated control,3,4hr,0,10
Untreated control,Untreated control,4,4hr,0,10
Untreated control,Untreated control,1,5hr,0,10
Untreated control,Untreated control,2,5hr,0,10
Untreated control,Untreated control,3,5hr,0,10
Untreated control,Untreated control,4,5hr,0,10
Untreated control,Untreated control,1,6hr,0,10
Untreated control,Untreated control,2,6hr,0,10
Untreated control,Untreated control,3,6hr,0,10
Untreated control,Untreated control,4,6hr,0,10
Solvent control,Solvent control,1,1hr,0,10
Solvent control,Solvent control,2,1hr,0,10
Solvent control,Solvent control,3,1hr,0,10
Solvent control,Solvent control,4,1hr,0,10
Solvent control,Solvent control,1,2hr,0,10
Solvent control,Solvent control,2,2hr,0,10
Solvent control,Solvent control,3,2hr,0,10
Solvent control,Solvent control,4,2hr,0,10
Solvent control,Solvent control,1,3hr,0,10
Solvent control,Solvent control,2,3hr,0,10
Solvent control,Solvent control,3,3hr,0,10
Solvent control,Solvent control,4,3hr,0,10
Solvent control,Solvent control,1,4hr,0,10
Solvent control,Solvent control,2,4hr,0,10
Solvent control,Solvent control,3,4hr,0,10
Solvent control,Solvent control,4,4hr,0,10
Solvent control,Solvent control,1,5hr,0,10
Solvent control,Solvent control,2,5hr,0,10
Solvent control,Solvent control,3,5hr,0,10
Solvent control,Solvent control,4,5hr,0,10
