Plant,Trt,X6hr,X24hr,X48hr,X72hr,X96hr
Actelic,Positive control,10,10,10,10,10
Actelic,Positive control,9,9,10,10,10
Actelic,Positive control,9,10,10,10,10
Actelic,Positive control,9,10,10,10,10
DCM,Solvent control,0,0,0,0,0
DCM,Solvent control,0,0,0,0,0
DCM,Solvent control,0,0,0,0,0
DCM,Solvent control,0,0,0,0,0
None,Untreated control,0,0,0,0,0
None,Untreated control,0,0,0,0,0
None,Untreated control,0,0,0,0,0
None,Untreated control,0,0,0,0,0
cv,2g,0,1,2,2,3
cv,2g,1,1,1,2,3
cv,2g,0,1,2,2,2
cv,2g,0,1,1,1,2
ss,2g,1,2,2,3,4
ss,2g,2,2,3,3,3
ss,2g,0,1,2,3,4
ss,2g,1,1,2,3,3
cv,4g,0,1,2,2,3
cv,4g,0,0,2,3,3
cv,4g,1,1,2,3,4
cv,4g,1,1,3,3,3
ss,4g,1,2,3,4,4
ss,4g,2,4,4,4,5
ss,4g,1,3,3,4,4
ss,4g,2,3,3,4,5
cv,6g,0,2,3,4,6
cv,6g,1,1,3,4,5
cv,6g,2,2,2,3,4
cv,6g,1,1,2,4,5
ss,6g,3,5,5,5,6
ss,6g,1,4,4,6,7
ss,6g,2,5,5,5,6
ss,6g,3,5,5,6,6
cv,8g,1,3,4,7,7
cv,8g,2,2,3,6,6
cv,8g,2,4,4,7,8
cv,8g,2,3,3,4,5
ss,8g,3,5,6,6,7
ss,8g,4,5,5,6,8
ss,8g,3,6,6,7,7
ss,8g,3,5,7,8,8
cv,10g,2,2,4,5,7
cv,10g,2,2,4,5,6
cv,10g,3,3,4,6,7
cv,10g,2,3,4,6,8
ss,10g,4,6,7,8,8
ss,10g,5,5,6,8,10
ss,10g,5,7,8,8,9
ss,10g,4,6,8,8,10
