Group,Trt,Egg1,Egg2,Egg3,Egg4,Egg5,Egg6,Egg7,Egg8,Egg9,Egg10
Untreated control,Untreated,8,8,5,5,7,7,4,5,7,5
Untreated control,Untreated,7,7,6,6,8,4,6,7,6,4
Untreated control,Untreated,6,9,4,8,4,6,7,6,3,8
Untreated control,Untreated,4,4,7,6,9,5,5,8,8,5
Negative control,Solvent,5,8,4,7,6,6,8,5,7,5
Negative control,Solvent,8,5,7,6,5,7,6,6,5,6
Negative control,Solvent,7,7,8,5,7,5,8,5,5,4
Negative control,Solvent,6,8,6,4,6,6,7,5,6,7
Positive control,Actelic,0,0,0,0,0,0,0,0,0,0
Positive control,Actelic,0,0,0,0,0,0,0,0,0,0
Positive control,Actelic,0,0,0,0,0,0,0,0,0,0
Positive control,Actelic,0,0,0,0,0,0,0,0,0,0
Cv,2g,4,6,3,3,5,7,3,4,5,7
Cv,2g,3,5,6,4,4,5,6,3,5,4
Cv,2g,5,4,5,3,4,6,5,5,4,5
Cv,2g,3,7,3,5,4,5,8,7,5,3
Cv,4g,6,2,4,3,2,3,5,2,5,4
Cv,4g,3,5,4,5,4,3,2,3,4,2
Cv,4g,3,5,2,3,6,2,3,4,6,2
Cv,4g,4,3,6,2,4,3,4,4,5,2
Cv,6g,4,2,5,3,2,3,3,3,2,4
Cv,6g,3,3,4,2,3,5,2,4,3,2
Cv,6g,4,4,3,4,4,2,3,4,2,2
Cv,6g,3,4,4,2,3,4,2,4,4,2
Cv,8g,2,3,1,3,2,3,1,2,2,2
Cv,8g,2,1,1,2,3,2,2,2,1,3
Cv,8g,1,3,2,3,1,2,3,2,2,2
Cv,8g,3,1,4,2,3,2,2,1,3,1
Cv,10g,3,2,3,3,2,1,1,2,3,3
Cv,10g,1,3,2,2,1,2,2,2,2,1
Cv,10g,3,3,2,3,1,0,2,2,1,2
Cv,10g,2,2,1,2,2,3,1,1,4,1
Ss,2g,3,5,4,7,4,3,5,5,3,5
Ss,2g,6,3,4,3,5,4,3,5,4,4
Ss,2g,3,5,3,5,4,5,4,3,4,3
Ss,2g,5,5,4,3,3,4,5,3,3,2
Ss,4g,5,2,4,3,2,2,3,3,4,3
Ss,4g,4,3,2,4,2,3,3,2,2,2
Ss,4g,5,3,3,2,4,2,2,3,2,2
Ss,4g,3,2,4,3,2,3,2,3,2,2
Ss,6g,3,2,3,1,2,1,1,2,3,3
Ss,6g,1,2,1,1,0,2,2,1,2,1
Ss,6g,2,2,2,3,1,0,2,1,1,2
Ss,6g,1,3,0,2,2,1,1,1,2,1
Ss,8g,2,0,1,1,0,1,0,2,0,0
Ss,8g,0,1,0,0,2,0,1,1,0,2
Ss,8g,1,1,0,2,0,1,1,0,1,1
Ss,8g,2,0,1,0,1,1,1,0,1,0
Ss,10g,0,1,0,1,0,1,0,1,0,1
Ss,10g,1,0,1,0,1,0,1,0,0,0
Ss,10g,2,0,1,0,0,1,1,0,1,0
Ss,10g,0,1,0,1,0,1,0,0,0,1
